"player_name","season","pts","reb","ast","ts_pct","mvp_score"
Stephen Curry,"2015-16",30.1,5.4,6.7,0.669,35.7
Kevin Durant,"2015-16",28.2,8.2,5.0,0.634,34.3
James Harden,"2015-16",29.0,6.1,7.5,0.598,33.6
LeBron James,"2015-16",25.3,7.4,6.8,0.588,32.0
Russell Westbrook,"2015-16",23.5,7.8,10.4,0.5539999999999999,31.5
