"player_name","season","draft_year","status"
Peyton Watson,"2022-23","2022",Rookie
Patrick Baldwin,"2022-23","2022",Rookie
Paolo Banchero,"2022-23","2022",Rookie
Ryan Rollins,"2022-23","2022",Rookie
Moussa Diabate,"2022-23","2022",Rookie
Ousmane Dieng,"2022-23","2022",Rookie
Ochai Agbaji,"2022-23","2022",Rookie
Nikola Jovic,"2022-23","2022",Rookie
Tyrese Martin,"2022-23","2022",Rookie
TyTy Washington Jr.,"2022-23","2022",Rookie
Trevor Keels,"2022-23","2022",Rookie
Vince Williams Jr.,"2022-23","2022",Rookie
Wendell Moore Jr.,"2022-23","2022",Rookie
Walker Kessler,"2022-23","2022",Rookie
Shaedon Sharpe,"2022-23","2022",Rookie
Tari Eason,"2022-23","2022",Rookie
David Roddy,"2022-23","2022",Rookie
Dyson Daniels,"2022-23","2022",Rookie
Bennedict Mathurin,"2022-23","2022",Rookie
Blake Wesley,"2022-23","2022",Rookie
AJ Griffin,"2022-23","2022",Rookie
Andrew Nembhard,"2022-23","2022",Rookie
Christian Braun,"2022-23","2022",Rookie
Christian Koloko,"2022-23","2022",Rookie
Dalen Terry,"2022-23","2022",Rookie
Bryce McGowens,"2022-23","2022",Rookie
Caleb Houstan,"2022-23","2022",Rookie
Isaiah Mobley,"2022-23","2022",Rookie
Kennedy Chandler,"2022-23","2022",Rookie
Keegan Murray,"2022-23","2022",Rookie
Kendall Brown,"2022-23","2022",Rookie
MarJon Beauchamp,"2022-23","2022",Rookie
Mark Williams,"2022-23","2022",Rookie
Max Christie,"2022-23","2022",Rookie
Malaki Branham,"2022-23","2022",Rookie
Jalen Williams,"2022-23","2022",Rookie
Jalen Duren,"2022-23","2022",Rookie
JD Davison,"2022-23","2022",Rookie
Jabari Smith Jr.,"2022-23","2022",Rookie
Jabari Walker,"2022-23","2022",Rookie
Jaden Hardy,"2022-23","2022",Rookie
Jaden Ivey,"2022-23","2022",Rookie
Jake LaRavia,"2022-23","2022",Rookie
Josh Minott,"2022-23","2022",Rookie
Johnny Davis,"2022-23","2022",Rookie
Jaylin Williams,"2022-23","2022",Rookie
Jeremy Sochan,"2022-23","2022",Rookie
Quentin Grimes,"2022-23","2021",Veteran
Pat Connaughton,"2022-23","2015",Veteran
RJ Barrett,"2022-23","2019",Veteran
Precious Achiuwa,"2022-23","2020",Veteran
RaiQuan Gray,"2022-23","2021",Veteran
R.J. Hampton,"2022-23","2020",Veteran
Patrick Beverley,"2022-23","2009",Veteran
Paul Reed,"2022-23","2020",Veteran
Paul George,"2022-23","2010",Veteran
Patty Mills,"2022-23","2009",Veteran
Pascal Siakam,"2022-23","2016",Veteran
Patrick Williams,"2022-23","2020",Veteran
Raul Neto,"2022-23","2013",Veteran
Payton Pritchard,"2022-23","2020",Veteran
Reggie Bullock,"2022-23","2013",Veteran
Russell Westbrook,"2022-23","2008",Veteran
Richaun Holmes,"2022-23","2015",Veteran
Saddiq Bey,"2022-23","2020",Veteran
Saben Lee,"2022-23","2020",Veteran
Rui Hachimura,"2022-23","2019",Veteran
Rudy Gobert,"2022-23","2013",Veteran
Rudy Gay,"2022-23","2006",Veteran
Romeo Langford,"2022-23","2019",Veteran
Robin Lopez,"2022-23","2008",Veteran
Robert Williams III,"2022-23","2018",Veteran
Ricky Rubio,"2022-23","2009",Veteran
Reggie Jackson,"2022-23","2011",Veteran
Montrezl Harrell,"2022-23","2015",Veteran
P.J. Tucker,"2022-23","2006",Veteran
Nassir Little,"2022-23","2019",Veteran
Myles Turner,"2022-23","2015",Veteran
Moses Moody,"2022-23","2021",Veteran
Moritz Wagner,"2022-23","2018",Veteran
Monte Morris,"2022-23","2017",Veteran
Mo Bamba,"2022-23","2018",Veteran
Mitchell Robinson,"2022-23","2018",Veteran
Miles McBride,"2022-23","2021",Veteran
Mike Muscala,"2022-23","2013",Veteran
Mike Conley,"2022-23","2007",Veteran
Sam Merrill,"2022-23","2020",Veteran
Mikal Bridges,"2022-23","2018",Veteran
Neemias Queta,"2022-23","2021",Veteran
P.J. Washington,"2022-23","2019",Veteran
Nerlens Noel,"2022-23","2013",Veteran
Nick Richards,"2022-23","2020",Veteran
Otto Porter Jr.,"2022-23","2013",Veteran
Onyeka Okongwu,"2022-23","2020",Veteran
Obi Toppin,"2022-23","2020",Veteran
O.G. Anunoby,"2022-23","2017",Veteran
Norman Powell,"2022-23","2015",Veteran
Noah Vonleh,"2022-23","2014",Veteran
Nikola Vucevic,"2022-23","2011",Veteran
Nikola Jokic,"2022-23","2014",Veteran
Nicolas Batum,"2022-23","2008",Veteran
Nickeil Alexander-Walker,"2022-23","2019",Veteran
Nic Claxton,"2022-23","2019",Veteran
Sandro Mamukelashvili,"2022-23","2021",Veteran
Scottie Barnes,"2022-23","2021",Veteran
Vernon Carey Jr.,"2022-23","2020",Veteran
Usman Garuba,"2022-23","2021",Veteran
Udoka Azubuike,"2022-23","2020",Veteran
Tyus Jones,"2022-23","2015",Veteran
Tyrese Maxey,"2022-23","2020",Veteran
Tyrese Haliburton,"2022-23","2020",Veteran
Tyler Herro,"2022-23","2019",Veteran
Tyler Dorsey,"2022-23","2017",Veteran
Ty Jerome,"2022-23","2019",Veteran
Troy Brown Jr.,"2022-23","2018",Veteran
Trey Murphy III,"2022-23","2021",Veteran
Trey Lyles,"2022-23","2015",Veteran
Victor Oladipo,"2022-23","2013",Veteran
Vlatko Cancar,"2022-23","2017",Veteran
Michael Porter Jr.,"2022-23","2018",Veteran
Zion Williamson,"2022-23","2019",Veteran
Ziaire Williams,"2022-23","2021",Veteran
Zeke Nnaji,"2022-23","2020",Veteran
Zach LaVine,"2022-23","2014",Veteran
Zach Collins,"2022-23","2017",Veteran
Xavier Tillman,"2022-23","2020",Veteran
Willy Hernangomez,"2022-23","2015",Veteran
Will Barton,"2022-23","2012",Veteran
Wendell Carter Jr.,"2022-23","2018",Veteran
Vit Krejci,"2022-23","2020",Veteran
Santi Aldama,"2022-23","2021",Veteran
Tre Mann,"2022-23","2021",Veteran
T.J. McConnell,"2022-23","2015",Veteran
Svi Mykhailiuk,"2022-23","2018",Veteran
Steven Adams,"2022-23","2013",Veteran
Sterling Brown,"2022-23","2017",Veteran
Stephen Curry,"2022-23","2009",Veteran
Stanley Johnson,"2022-23","2015",Veteran
Spencer Dinwiddie,"2022-23","2014",Veteran
Skylar Mays,"2022-23","2020",Veteran
Shake Milton,"2022-23","2018",Veteran
Shai Gilgeous-Alexander,"2022-23","2018",Veteran
Serge Ibaka,"2022-23","2008",Veteran
T.J. Warren,"2022-23","2014",Veteran
Taj Gibson,"2022-23","2009",Veteran
Tre Jones,"2022-23","2020",Veteran
Trae Young,"2022-23","2018",Veteran
Tony Bradley,"2022-23","2017",Veteran
Tobias Harris,"2022-23","2011",Veteran
Tim Hardaway Jr.,"2022-23","2013",Veteran
Thomas Bryant,"2022-23","2017",Veteran
Theo Maledon,"2022-23","2020",Veteran
Thanasis Antetokounmpo,"2022-23","2014",Veteran
Thaddeus Young,"2022-23","2007",Veteran
Terry Rozier,"2022-23","2015",Veteran
Terrence Ross,"2022-23","2012",Veteran
Terance Mann,"2022-23","2019",Veteran
Taurean Prince,"2022-23","2016",Veteran
Talen Horton-Tucker,"2022-23","2019",Veteran
Lindell Wigginton,"2022-23","2019",Veteran
Dennis Smith Jr.,"2022-23","2017",Veteran
Derrick Rose,"2022-23","2008",Veteran
Derrick White,"2022-23","2017",Veteran
Desmond Bane,"2022-23","2020",Veteran
Devin Booker,"2022-23","2015",Veteran
Devin Vassell,"2022-23","2020",Veteran
Devonte' Graham,"2022-23","2018",Veteran
Dillon Brooks,"2022-23","2017",Veteran
Domantas Sabonis,"2022-23","2016",Veteran
Donovan Mitchell,"2022-23","2017",Veteran
Donte DiVincenzo,"2022-23","2018",Veteran
Dennis Schroder,"2022-23","2013",Veteran
Doug McDermott,"2022-23","2014",Veteran
Deni Avdija,"2022-23","2020",Veteran
Dejounte Murray,"2022-23","2016",Veteran
Danny Green,"2022-23","2009",Veteran
Dario Saric,"2022-23","2014",Veteran
Darius Bazley,"2022-23","2019",Veteran
Darius Garland,"2022-23","2019",Veteran
Davion Mitchell,"2022-23","2021",Veteran
Davis Bertans,"2022-23","2011",Veteran
Davon Reed,"2022-23","2017",Veteran
Day'Ron Sharpe,"2022-23","2021",Veteran
De'Aaron Fox,"2022-23","2017",Veteran
De'Andre Hunter,"2022-23","2019",Veteran
De'Anthony Melton,"2022-23","2018",Veteran
DeAndre Jordan,"2022-23","2008",Veteran
DeMar DeRozan,"2022-23","2009",Veteran
Deandre Ayton,"2022-23","2018",Veteran
Delon Wright,"2022-23","2015",Veteran
Draymond Green,"2022-23","2012",Veteran
George Hill,"2022-23","2008",Veteran
Georges Niang,"2022-23","2016",Veteran
Giannis Antetokounmpo,"2022-23","2013",Veteran
Goga Bitadze,"2022-23","2019",Veteran
Goran Dragic,"2022-23","2008",Veteran
Gordon Hayward,"2022-23","2010",Veteran
Gorgui Dieng,"2022-23","2013",Veteran
Grant Williams,"2022-23","2019",Veteran
Grayson Allen,"2022-23","2018",Veteran
Greg Brown III,"2022-23","2021",Veteran
Hamidou Diallo,"2022-23","2018",Veteran
Harrison Barnes,"2022-23","2012",Veteran
Haywood Highsmith,"2022-23","2018",Veteran
Herbert Jones,"2022-23","2021",Veteran
Immanuel Quickley,"2022-23","2020",Veteran
Isaac Okoro,"2022-23","2020",Veteran
Isaiah Hartenstein,"2022-23","2017",Veteran
Isaiah Jackson,"2022-23","2021",Veteran
Isaiah Joe,"2022-23","2020",Veteran
Gary Trent Jr.,"2022-23","2018",Veteran
Gary Harris,"2022-23","2014",Veteran
Dwight Powell,"2022-23","2014",Veteran
Dylan Windler,"2022-23","2019",Veteran
Edmond Sumner,"2022-23","2017",Veteran
Eric Gordon,"2022-23","2008",Veteran
Evan Fournier,"2022-23","2012",Veteran
Evan Mobley,"2022-23","2021",Veteran
Frank Jackson,"2022-23","2017",Veteran
Frank Kaminsky,"2022-23","2015",Veteran
Frank Ntilikina,"2022-23","2017",Veteran
Franz Wagner,"2022-23","2021",Veteran
Furkan Korkmaz,"2022-23","2016",Veteran
Daniel Gafford,"2022-23","2019",Veteran
Damian Lillard,"2022-23","2012",Veteran
Austin Rivers,"2022-23","2012",Veteran
Ayo Dosunmu,"2022-23","2021",Veteran
Bam Adebayo,"2022-23","2017",Veteran
Ben Simmons,"2022-23","2016",Veteran
Bismack Biyombo,"2022-23","2011",Veteran
Blake Griffin,"2022-23","2009",Veteran
Bobby Portis,"2022-23","2015",Veteran
Bogdan Bogdanovic,"2022-23","2014",Veteran
Bojan Bogdanovic,"2022-23","2011",Veteran
Bol Bol,"2022-23","2019",Veteran
Bones Hyland,"2022-23","2021",Veteran
Bradley Beal,"2022-23","2012",Veteran
Brandon Boston Jr.,"2022-23","2021",Veteran
Anthony Edwards,"2022-23","2020",Veteran
Anthony Davis,"2022-23","2012",Veteran
Anfernee Simons,"2022-23","2018",Veteran
Andrew Wiggins,"2022-23","2014",Veteran
Aaron Gordon,"2022-23","2014",Veteran
Aaron Holiday,"2022-23","2018",Veteran
Aaron Nesmith,"2022-23","2020",Veteran
Aaron Wiggins,"2022-23","2021",Veteran
Admiral Schofield,"2022-23","2019",Veteran
Al Horford,"2022-23","2007",Veteran
Brandon Clarke,"2022-23","2019",Veteran
Alec Burks,"2022-23","2011",Veteran
Alex Len,"2022-23","2013",Veteran
Alize Johnson,"2022-23","2018",Veteran
Alperen Sengun,"2022-23","2021",Veteran
Andre Drummond,"2022-23","2012",Veteran
Andre Iguodala,"2022-23","2004",Veteran
Aleksej Pokusevski,"2022-23","2020",Veteran
Isaiah Livers,"2022-23","2021",Veteran
Brandon Ingram,"2022-23","2016",Veteran
Brook Lopez,"2022-23","2008",Veteran
Chuma Okeke,"2022-23","2019",Veteran
Clint Capela,"2022-23","2014",Veteran
Coby White,"2022-23","2019",Veteran
Cody Martin,"2022-23","2019",Veteran
Cody Zeller,"2022-23","2013",Veteran
Cole Anthony,"2022-23","2020",Veteran
Collin Sexton,"2022-23","2018",Veteran
Corey Kispert,"2022-23","2021",Veteran
Cory Joseph,"2022-23","2011",Veteran
D'Angelo Russell,"2022-23","2015",Veteran
Dalano Banton,"2022-23","2021",Veteran
Damian Jones,"2022-23","2016",Veteran
Chris Paul,"2022-23","2005",Veteran
Chris Duarte,"2022-23","2021",Veteran
Chimezie Metu,"2022-23","2018",Veteran
Bruce Brown,"2022-23","2018",Veteran
Bruno Fernando,"2022-23","2019",Veteran
Buddy Hield,"2022-23","2016",Veteran
CJ McCollum,"2022-23","2013",Veteran
Cade Cunningham,"2022-23","2021",Veteran
Cam Thomas,"2022-23","2021",Veteran
Cameron Johnson,"2022-23","2019",Veteran
Cameron Payne,"2022-23","2015",Veteran
Caris LeVert,"2022-23","2016",Veteran
Cedi Osman,"2022-23","2015",Veteran
Charles Bassey,"2022-23","2021",Veteran
Cam Reddish,"2022-23","2019",Veteran
Michael Carter-Williams,"2022-23","2013",Veteran
Isaiah Stewart,"2022-23","2020",Veteran
Kenyon Martin Jr.,"2022-23","2020",Veteran
Keon Johnson,"2022-23","2021",Veteran
Kessler Edwards,"2022-23","2021",Veteran
Kevin Durant,"2022-23","2007",Veteran
Kevin Huerter,"2022-23","2018",Veteran
Kevin Knox II,"2022-23","2018",Veteran
Kevin Love,"2022-23","2008",Veteran
Kevin Porter Jr.,"2022-23","2019",Veteran
Kevon Looney,"2022-23","2015",Veteran
Khris Middleton,"2022-23","2012",Veteran
Killian Hayes,"2022-23","2020",Veteran
Kira Lewis Jr.,"2022-23","2020",Veteran
Klay Thompson,"2022-23","2011",Veteran
Kris Dunn,"2022-23","2016",Veteran
Kristaps Porzingis,"2022-23","2015",Veteran
Kentavious Caldwell-Pope,"2022-23","2013",Veteran
Kyle Anderson,"2022-23","2014",Veteran
Julius Randle,"2022-23","2014",Veteran
Justin Jackson,"2022-23","2017",Veteran
Justise Winslow,"2022-23","2015",Veteran
Jusuf Nurkic,"2022-23","2014",Veteran
KZ Okpala,"2022-23","2019",Veteran
Kai Jones,"2022-23","2021",Veteran
Karl-Anthony Towns,"2022-23","2015",Veteran
Kawhi Leonard,"2022-23","2011",Veteran
Keita Bates-Diop,"2022-23","2018",Veteran
Keldon Johnson,"2022-23","2019",Veteran
Kelly Olynyk,"2022-23","2013",Veteran
Kelly Oubre Jr.,"2022-23","2015",Veteran
Kemba Walker,"2022-23","2011",Veteran
Kyle Kuzma,"2022-23","2017",Veteran
Kyle Lowry,"2022-23","2006",Veteran
Kyrie Irving,"2022-23","2011",Veteran
Marcus Morris Sr.,"2022-23","2011",Veteran
Marcus Smart,"2022-23","2014",Veteran
Markelle Fultz,"2022-23","2017",Veteran
Markieff Morris,"2022-23","2011",Veteran
Marko Simonovic,"2022-23","2020",Veteran
Marvin Bagley III,"2022-23","2018",Veteran
Mason Plumlee,"2022-23","2013",Veteran
Matisse Thybulle,"2022-23","2019",Veteran
Meyers Leonard,"2022-23","2012",Veteran
Mfiondu Kabengele,"2022-23","2019",Veteran
Malik Monk,"2022-23","2017",Veteran
Malik Beasley,"2022-23","2016",Veteran
Malcolm Brogdon,"2022-23","2016",Veteran
LaMelo Ball,"2022-23","2020",Veteran
Landry Shamet,"2022-23","2018",Veteran
Larry Nance Jr.,"2022-23","2015",Veteran
Lauri Markkanen,"2022-23","2017",Veteran
LeBron James,"2022-23","2003",Veteran
Leandro Bolmaro,"2022-23","2020",Veteran
Lonnie Walker IV,"2022-23","2018",Veteran
Luka Doncic,"2022-23","2018",Veteran
Luka Garza,"2022-23","2021",Veteran
Luka Samanic,"2022-23","2019",Veteran
Luke Kennard,"2022-23","2017",Veteran
Malachi Flynn,"2022-23","2020",Veteran
Juancho Hernangomez,"2022-23","2016",Veteran
Jrue Holiday,"2022-23","2009",Veteran
Jalen McDaniels,"2022-23","2019",Veteran
Jalen Smith,"2022-23","2020",Veteran
Jalen Suggs,"2022-23","2021",Veteran
Jamal Murray,"2022-23","2016",Veteran
James Bouknight,"2022-23","2021",Veteran
James Harden,"2022-23","2009",Veteran
James Johnson,"2022-23","2009",Veteran
James Wiseman,"2022-23","2020",Veteran
Jared Butler,"2022-23","2021",Veteran
Jaren Jackson Jr.,"2022-23","2018",Veteran
Jarred Vanderbilt,"2022-23","2018",Veteran
Jarrell Brantley,"2022-23","2019",Veteran
Jarrett Allen,"2022-23","2017",Veteran
Jarrett Culver,"2022-23","2019",Veteran
Jason Preston,"2022-23","2021",Veteran
Jalen Johnson,"2022-23","2021",Veteran
Jalen Green,"2022-23","2021",Veteran
Jalen Brunson,"2022-23","2018",Veteran
Isaiah Todd,"2022-23","2021",Veteran
Ivica Zubac,"2022-23","2016",Veteran
JT Thor,"2022-23","2021",Veteran
Ja Morant,"2022-23","2019",Veteran
JaVale McGee,"2022-23","2008",Veteran
Jaden McDaniels,"2022-23","2020",Veteran
Jaden Springer,"2022-23","2021",Veteran
Jae Crowder,"2022-23","2012",Veteran
Jakob Poeltl,"2022-23","2016",Veteran
Isaiah Roby,"2022-23","2019",Veteran
Jaxson Hayes,"2022-23","2019",Veteran
Jay Scrubb,"2022-23","2020",Veteran
Jonas Valanciunas,"2022-23","2011",Veteran
Jonathan Isaac,"2022-23","2017",Veteran
Jonathan Kuminga,"2022-23","2021",Veteran
Jordan Clarkson,"2022-23","2014",Veteran
Jordan Nwora,"2022-23","2020",Veteran
Jordan Poole,"2022-23","2019",Veteran
Josh Christopher,"2022-23","2021",Veteran
Josh Giddey,"2022-23","2021",Veteran
Josh Green,"2022-23","2020",Veteran
Josh Hart,"2022-23","2017",Veteran
Josh Okogie,"2022-23","2018",Veteran
Josh Richardson,"2022-23","2015",Veteran
Joshua Primo,"2022-23","2021",Veteran
John Wall,"2022-23","2010",Veteran
Jaylen Brown,"2022-23","2016",Veteran
Jaylen Nowell,"2022-23","2019",Veteran
Jayson Tatum,"2022-23","2017",Veteran
Jeff Green,"2022-23","2007",Veteran
Jerami Grant,"2022-23","2014",Veteran
Jeremiah Robinson-Earl,"2022-23","2021",Veteran
Jevon Carter,"2022-23","2018",Veteran
Jimmy Butler,"2022-23","2011",Veteran
Joe Harris,"2022-23","2014",Veteran
Joe Wieskamp,"2022-23","2021",Veteran
Joel Embiid,"2022-23","2014",Veteran
John Collins,"2022-23","2017",Veteran
Jericho Sims,"2022-23","2021",Veteran
Usman Garuba,"2021-22","2021",Rookie
Ziaire Williams,"2021-22","2021",Rookie
Evan Mobley,"2021-22","2021",Rookie
Franz Wagner,"2021-22","2021",Rookie
Georgios Kalaitzakis,"2021-22","2021",Rookie
Jalen Green,"2021-22","2021",Rookie
Jalen Johnson,"2021-22","2021",Rookie
Jalen Suggs,"2021-22","2021",Rookie
James Bouknight,"2021-22","2021",Rookie
Jared Butler,"2021-22","2021",Rookie
Isaiah Livers,"2021-22","2021",Rookie
Isaiah Jackson,"2021-22","2021",Rookie
Herbert Jones,"2021-22","2021",Rookie
Greg Brown III,"2021-22","2021",Rookie
Isaiah Todd,"2021-22","2021",Rookie
Jaden Springer,"2021-22","2021",Rookie
JT Thor,"2021-22","2021",Rookie
Charles Bassey,"2021-22","2021",Rookie
Cam Thomas,"2021-22","2021",Rookie
Cade Cunningham,"2021-22","2021",Rookie
Dalano Banton,"2021-22","2021",Rookie
Chris Duarte,"2021-22","2021",Rookie
Corey Kispert,"2021-22","2021",Rookie
Brandon Boston,"2021-22","2021",Rookie
David Johnson,"2021-22","2021",Rookie
Davion Mitchell,"2021-22","2021",Rookie
Aaron Wiggins,"2021-22","2021",Rookie
Day'Ron Sharpe,"2021-22","2021",Rookie
Ayo Dosunmu,"2021-22","2021",Rookie
Bones Hyland,"2021-22","2021",Rookie
Alperen Sengun,"2021-22","2021",Rookie
Moses Moody,"2021-22","2021",Rookie
Neemias Queta,"2021-22","2021",Rookie
Quentin Grimes,"2021-22","2021",Rookie
Luka Garza,"2021-22","2021",Rookie
Jeremiah Robinson-Earl,"2021-22","2021",Rookie
Miles McBride,"2021-22","2021",Rookie
Kai Jones,"2021-22","2021",Rookie
Keon Johnson,"2021-22","2021",Rookie
Kessler Edwards,"2021-22","2021",Rookie
Joe Wieskamp,"2021-22","2021",Rookie
Jericho Sims,"2021-22","2021",Rookie
Jonathan Kuminga,"2021-22","2021",Rookie
Josh Giddey,"2021-22","2021",Rookie
Josh Christopher,"2021-22","2021",Rookie
Joshua Primo,"2021-22","2021",Rookie
Sharife Cooper,"2021-22","2021",Rookie
Sandro Mamukelashvili,"2021-22","2021",Rookie
Santi Aldama,"2021-22","2021",Rookie
Scottie Barnes,"2021-22","2021",Rookie
Scottie Lewis,"2021-22","2021",Rookie
Tre Mann,"2021-22","2021",Rookie
Trey Murphy III,"2021-22","2021",Rookie
Vlatko Cancar,"2021-22","2017",Veteran
Vit Krejci,"2021-22","2020",Veteran
Victor Oladipo,"2021-22","2013",Veteran
Vernon Carey Jr.,"2021-22","2020",Veteran
Wayne Ellington,"2021-22","2009",Veteran
Tyus Jones,"2021-22","2015",Veteran
Tyrone Wallace,"2021-22","2016",Veteran
Tyrese Maxey,"2021-22","2020",Veteran
Tyrese Haliburton,"2021-22","2020",Veteran
Tyrell Terry,"2021-22","2020",Veteran
Tyler Herro,"2021-22","2019",Veteran
Wayne Selden,"2021-22","2016",Veteran
Udoka Azubuike,"2021-22","2020",Veteran
Wendell Carter Jr.,"2021-22","2018",Veteran
Wes Iwundu,"2021-22","2017",Veteran
Zeke Nnaji,"2021-22","2020",Veteran
Zach LaVine,"2021-22","2014",Veteran
Zach Collins,"2021-22","2017",Veteran
Xavier Tillman Sr.,"2021-22","2020",Veteran
Willy Hernangomez,"2021-22","2015",Veteran
Willie Cauley-Stein,"2021-22","2015",Veteran
Will Barton,"2021-22","2012",Veteran
Darius Bazley,"2021-22","2019",Veteran
Troy Brown Jr.,"2021-22","2018",Veteran
Evan Fournier,"2021-22","2012",Veteran
Frank Jackson,"2021-22","2017",Veteran
Frank Kaminsky,"2021-22","2015",Veteran
Frank Ntilikina,"2021-22","2017",Veteran
Furkan Korkmaz,"2021-22","2016",Veteran
Gorgui Dieng,"2021-22","2013",Veteran
Gordon Hayward,"2021-22","2010",Veteran
Ty Jerome,"2021-22","2019",Veteran
Goran Dragic,"2021-22","2008",Veteran
Goga Bitadze,"2021-22","2019",Veteran
Giannis Antetokounmpo,"2021-22","2013",Veteran
George King,"2021-22","2018",Veteran
George Hill,"2021-22","2008",Veteran
Gary Trent Jr.,"2021-22","2018",Veteran
Gary Harris,"2021-22","2014",Veteran
Georges Niang,"2021-22","2016",Veteran
Eric Paschall,"2021-22","2019",Veteran
Eric Gordon,"2021-22","2008",Veteran
Eric Bledsoe,"2021-22","2010",Veteran
Dillon Brooks,"2021-22","2017",Veteran
Didi Louzada,"2021-22","2019",Veteran
Devonte' Graham,"2021-22","2018",Veteran
Domantas Sabonis,"2021-22","2016",Veteran
Devin Vassell,"2021-22","2020",Veteran
Devin Booker,"2021-22","2015",Veteran
Desmond Bane,"2021-22","2020",Veteran
Derrick White,"2021-22","2017",Veteran
Derrick Rose,"2021-22","2008",Veteran
Devin Cannady,"2021-22","2019",Veteran
Grant Williams,"2021-22","2019",Veteran
Donovan Mitchell,"2021-22","2017",Veteran
Enes Freedom,"2021-22","2011",Veteran
Emmanuel Mudiay,"2021-22","2015",Veteran
Elijah Hughes,"2021-22","2020",Veteran
Elfrid Payton,"2021-22","2014",Veteran
Ed Davis,"2021-22","2010",Veteran
Donte DiVincenzo,"2021-22","2018",Veteran
Dylan Windler,"2021-22","2019",Veteran
Dwight Howard,"2021-22","2004",Veteran
Draymond Green,"2021-22","2012",Veteran
Doug McDermott,"2021-22","2014",Veteran
Dwight Powell,"2021-22","2014",Veteran
Derrick Favors,"2021-22","2010",Veteran
Grayson Allen,"2021-22","2018",Veteran
Greg Monroe,"2021-22","2010",Veteran
Jalen McDaniels,"2021-22","2019",Veteran
Jalen Smith,"2021-22","2020",Veteran
James Ennis III,"2021-22","2013",Veteran
James Harden,"2021-22","2009",Veteran
James Johnson,"2021-22","2009",Veteran
Jaren Jackson Jr.,"2021-22","2018",Veteran
Jarred Vanderbilt,"2021-22","2018",Veteran
Jarrett Allen,"2021-22","2017",Veteran
Jarrett Culver,"2021-22","2019",Veteran
Jeff Green,"2021-22","2007",Veteran
Jayson Tatum,"2021-22","2017",Veteran
Jaylen Nowell,"2021-22","2019",Veteran
Jalen Brunson,"2021-22","2018",Veteran
Jay Scrubb,"2021-22","2020",Veteran
Jaxson Hayes,"2021-22","2019",Veteran
Jaylen Brown,"2021-22","2016",Veteran
Jakob Poeltl,"2021-22","2016",Veteran
Jake Layman,"2021-22","2016",Veteran
Isaiah Joe,"2021-22","2020",Veteran
Isaiah Hartenstein,"2021-22","2017",Veteran
Isaac Okoro,"2021-22","2020",Veteran
Isaac Bonga,"2021-22","2018",Veteran
Isaiah Roby,"2021-22","2019",Veteran
Immanuel Quickley,"2021-22","2020",Veteran
Haywood Highsmith,"2021-22","2018",Veteran
Hassani Gravett,"2021-22","2019",Veteran
Hassan Whiteside,"2021-22","2010",Veteran
Harrison Barnes,"2021-22","2012",Veteran
Hamidou Diallo,"2021-22","2018",Veteran
Ignas Brazdeikis,"2021-22","2019",Veteran
Isaiah Stewart,"2021-22","2020",Veteran
Jahmi'us Ramsey,"2021-22","2020",Veteran
Jae Crowder,"2021-22","2012",Veteran
Jaden McDaniels,"2021-22","2020",Veteran
Jabari Parker,"2021-22","2014",Veteran
Isaiah Thomas,"2021-22","2011",Veteran
JaVale McGee,"2021-22","2008",Veteran
Ja Morant,"2021-22","2019",Veteran
Ivica Zubac,"2021-22","2016",Veteran
Denzel Valentine,"2021-22","2016",Veteran
Dennis Smith Jr.,"2021-22","2017",Veteran
Dennis Schroder,"2021-22","2013",Veteran
Chandler Hutchison,"2021-22","2018",Veteran
Cedi Osman,"2021-22","2015",Veteran
Cat Barber,"2021-22","2016",Veteran
Cassius Winston,"2021-22","2020",Veteran
Cassius Stanley,"2021-22","2020",Veteran
Carsen Edwards,"2021-22","2019",Veteran
Carmelo Anthony,"2021-22","2003",Veteran
Caris LeVert,"2021-22","2016",Veteran
Cameron Payne,"2021-22","2015",Veteran
Cameron Johnson,"2021-22","2019",Veteran
Cam Reddish,"2021-22","2019",Veteran
Brandon Knight,"2021-22","2011",Veteran
Brook Lopez,"2021-22","2008",Veteran
Bruce Brown,"2021-22","2018",Veteran
Bruno Fernando,"2021-22","2019",Veteran
Buddy Hield,"2021-22","2016",Veteran
CJ Elleby,"2021-22","2020",Veteran
CJ McCollum,"2021-22","2013",Veteran
CJ Miles,"2021-22","2005",Veteran
Cheick Diallo,"2021-22","2016",Veteran
Chimezie Metu,"2021-22","2018",Veteran
Dakota Mathias,"2021-22","2018",Veteran
Damian Jones,"2021-22","2016",Veteran
Damian Lillard,"2021-22","2012",Veteran
D.J. Wilson,"2021-22","2017",Veteran
Daniel Gafford,"2021-22","2019",Veteran
Daniel Oturu,"2021-22","2020",Veteran
Danilo Gallinari,"2021-22","2008",Veteran
Danny Green,"2021-22","2009",Veteran
Damyean Dotson,"2021-22","2017",Veteran
Brandon Ingram,"2021-22","2016",Veteran
D.J. Augustin,"2021-22","2008",Veteran
Chris Paul,"2021-22","2005",Veteran
Chuma Okeke,"2021-22","2019",Veteran
D'Angelo Russell,"2021-22","2015",Veteran
Clint Capela,"2021-22","2014",Veteran
Cody Martin,"2021-22","2019",Veteran
Cody Zeller,"2021-22","2013",Veteran
Cole Anthony,"2021-22","2020",Veteran
Collin Sexton,"2021-22","2018",Veteran
Cory Joseph,"2021-22","2011",Veteran
Coby White,"2021-22","2019",Veteran
Brandon Clarke,"2021-22","2019",Veteran
Darren Collison,"2021-22","2009",Veteran
